image,title,sub_title,price,sale,unit,delivery_type,weigth,shipping_type,origin,allergen,shelf_life,information,sub_product_name_list,sub_product_price_list,product_image,check_point_image,description_title,description_content,description_image
https://img-cf.kurly.com/shop/data/goods/1462948937594y0.jpg,[쌜모네키친] 오로라 생연어(냉장),집에서 프로처럼 연어회 즐기기,"14,000원",0%,1팩,샛별배송/택배배송,생연어 200g/400g,냉장/종이포장,노르웨이산,"- 사시미 간장 소스 : 대두, 밀 함유 / 난류, 우유, 메밀, 땅콩, 대두, 밀, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 쇠고기, 오징어, 조개류(굴, 전복, 홍합포함)와 같은 시설에서 생산",,"상품의 특성상 빠른 시일 내에 섭취하시기를 권장드리고, 수령 후 2일 후부터는 가열조리해 드시기를 바랍니다.","['오로라 생연어 200g', '(품절) 오로라 생연어 400g', '케이퍼 & 홀스래디쉬소스 60g', '생와사비 & 사시미간장소스', '락교 & 초생강 60g', '락교 120g']","['14,000원', '23,000원', '1,500원', '990원', '990원', '1,500원']",https://img-cf.kurly.com/shop/data/goodsview/20200807/gv40000111998_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20190419/gv10000047908_1.jpg,"집에서 프로처럼 연어회 즐기기
[쌜모네키친] 오로라 생연어","날것을 잘 먹지 않는 서양인들도 즐겨 먹는 생선회가 있습니다. 바로 연어죠. 탄력 있는 살과 부드러운 지방층의 조화, 비리지 않고 고소한 맛 덕분에 동서양을 막론하고 사랑받는 생선입니다. 와사비 간장이나 굵은 소금에 콕 찍어 고유의 맛을 한껏 음미할 수 있는 연어회, 각종 채소와 양파 등을 함께 무쳐 산뜻하게 입맛을 돋우는 연어 카르파쵸, 구운 바케트 위에 올리브유에 버무린 연어를 듬뿍 얹어 먹는 부르스게타 등 상상만 해도 군침 도는 메뉴를 이젠 집에서도 즐겨보세요. 컬리가 맛과 품질 좋기로 소문난 ‘오로라 생연어’를 준비해왔으니까요.",https://img-cf.kurly.com/shop/data/goodsview/20170223/gv00000000239_1.jpg
https://img-cf.kurly.com/shop/data/goods/1591679368686y0.jpg,[바븐] 완도 전복 (5마리/260g 내외)(생물),완도 바다에서 갓 건져올린,"15,000원",25%,1봉,샛별배송/택배배송,260g 내외/55g X 5마리,냉장/종이포장,,,,"생물의 예민한 특성상, 배송 과정에서 기절하거나 움직임이 둔해질 수 있으며 이는 상품이 변질된 것이 아님을 안내드립니다.",[],[],https://img-cf.kurly.com/shop/data/goodsview/20200717/gv40000107957_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200609/gv20000099881_1.jpg,"완도 바다에서 갓 건져올린
[바븐] 완도 전복","보양식 하면 빠질 수 없는 식재료가 바로 전복이죠. 바븐은 전라남도 완도군의 깊고 차가운 바다에서 키운 전복을 5마리 담아 보내드려요. 새벽에 바닷물과 산소를 주입하는 포장 작업을 마친 전복은 당일 컬리에 입고되어 신선함을 유지하고 있어요. 손질한 전복은 속이 뜨끈뜨끈해지는 전복죽으로 끓여 보세요. 전복밥을 지어 맛깔나는 양념장에 비벼 드셔도 좋고, 쫄깃한 살 부분만 버터구이로 조리하셔도 더할 나위 없을 거예요.",https://img-cf.kurly.com/shop/data/goodsview/20200609/gv40000099880_1.jpg
https://img-cf.kurly.com/shop/data/goods/1580715771862y0.jpg,Hallo! 노르웨이 고등어 (3개입),두고 먹기 좋은 기획 세트,"8,300원",0%,1팩,샛별배송/택배배송,140~160g x 3개입,냉동/종이포장,노르웨이산,- 고등어 함유,수령일 포함 144일 이상 남은 상품을 보내드립니다. (유통기한:제조일로부터 1년),수령일 포함 144일 이상 남은 상품을 보내드립니다. (유통기한: 제조일로부터 1년),[],[],https://img-cf.kurly.com/shop/data/goodsview/20200203/gv40000080022_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200203/gv20000080017_1.jpg,"두고 먹기 좋은 기획 세트
Hallo! 노르웨이 고등어 (3개입)","노르웨이어로 ‘안녕’이란 뜻의 ‘Hallo!(할로)’에는 북대서양 청정 해역의 신선함을 그대로 전하고 싶은 컬리의 마음이 담겨 있어요. 지방을 가득 품은 촉촉한 속살 덕분에 전 세계인들의 사랑을 받는 노르웨이 고등어를 온가족이 풍족하게 즐길 수 있도록 3개입 상품으로 준비했습니다. 통통하게 살이 오른 고등어만 선별하여 머리를 제거하고, 먹기 좋은 순살 형태로 손질했지요. 국산 천일염과 녹차를 넣고 숙성하여 감칠맛이 살아있고, 윤기가 자르르 도는 속살은 바라만 보아도 입에 침이 고여요. 원산지부터 가공 과정, 염도까지 꼼꼼하게 확인한 Hallo! 노르웨이 고등어를 오늘부터 식탁의 단골손님으로 맞이해 보세요.",https://img-cf.kurly.com/shop/data/goodsview/20200203/gv30000080016_1.jpg
https://img-cf.kurly.com/shop/data/goods/1576818398754y0.jpg,[은하수산] 노르웨이 생연어회 120g(냉장),안전하게 담아낸 연어의 고소함,"10,500원",15%,1팩,샛별배송/택배배송,120g,냉장/종이포장,,"- 숙성한 연어회 : 대두, 밀, 고등어, 오징어, 게, 새우, 조개류, 돼지고기, 닭고기, 쇠고기를 사용한 제품과 같은 제조시설에서 제조",수령 후 가급적 빠른 섭취 부탁드립니다,산지 사정에 따라 예고없이 판매가격이 변동될 수 있습니다.,[],[],https://img-cf.kurly.com/shop/data/goodsview/20200228/gv00000083259_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200214/gv00000081297_1.jpg,"연어의 고소한 풍미
[은하수산]
노르웨이생연어회","연어회는 먹음직스러운 붉은 색과 탱글한 식감으로 눈과 입을 사로잡지요. 은하수산은 노르웨이 연어를 사용해 만든 제품을 선보입니다. 엄선한 연어만을 선별해 들여온 뒤 먹기 좋게 생연어회로 담아냈어요. 사람의 손길이 닿지 않는 자동화 장비로 청결하게 가공했기에, 뛰어난 선도와 안전성을 동시에 담보하고요. 포장지만 벗겨내면 연어 본연의 녹진하고 고소한 맛을 즐기실 수 있을 거예요.",https://img-cf.kurly.com/shop/data/goodsview/20200228/gv20000083221_1.jpg
https://img-cf.kurly.com/shop/data/goods/1574072202420y0.jpg,[비비고] 도톰한 삼치 구이,쉽고 빠르게 즐기는 삼치구이,"3,480원",15%,1팩,샛별배송/택배배송,60g,냉장/종이포장,,"-밀,대두함유",수령일 포함 최소7일 남은 제품을 보내드립니다,,[],[],https://img-cf.kurly.com/shop/data/goodsview/20191118/gv00000068540_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20191118/gv30000068537_1.jpg,"쉽고 빠르게 즐기는 삼치구이
[비비고]
도톰한 삼치 구이","생선구이를 좋아하더라도 구울 때 나는 냄새와 연기 때문에 항상 요리하기가 망설여졌을 거예요. 그럴 땐 전자레인지에 1분만 돌리면 냄새, 연기 걱정 없이 즐길 수 있는 비비고의 도톰한 삼치 구이를 추천드릴게요. 도톰하면서도 부드러운 생선살이 식감을 풍성하게 만들어주죠. 또 300℃ 이상의 과열증기오븐에서 빠르게 구워 수분손실을 최소화해 생선 본연의 촉촉함을 그대로 느끼실 수 있어요. 간편함과 맛을 모두 잡은 삼치 구이 반찬으로 영양가 있는 한 끼 식사를 완성해보세요.",https://img-cf.kurly.com/shop/data/goodsview/20191118/gv10000068536_1.jpg
https://img-cf.kurly.com/shop/data/goods/1580705605567y0.jpg,[법성포참맛] 대용량 영광굴비 1.2kg(20마리) (냉동),푸짐히 맛보는 영광굴비의 참맛,"26,500원",40%,1봉,샛별배송/택배배송,60g 내외 X 20마리,냉동/종이포장,,,,수령일 포함 180일 이상 남은 상품을 보내드립니다. (유통기한: 제조일로부터 1년),[],[],https://img-cf.kurly.com/shop/data/goodsview/20200713/gv30000107022_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200929/gv40000125032_1.jpg,"푸짐히 맛보는 영광굴비의 참맛
[법성포참맛] 대용량 영광굴비
1.2kg(20마리)","어쩌다 한 번씩 구워 맛보던 영광굴비가 못내 아쉬웠다면 컬리가 준비한 영광굴비 대용량 제품을 만나보세요. 맛이나 품질 걱정을 덜어줄 법성포참맛의 영광굴비랍니다. 국내에서 잡아 올린 참조기에 2~3년간 간수를 뺀 천일염으로 맛을 돋우고, 굴비를 촉촉하게 잘 말렸어요. 1인이 맛보기 딱 좋은 크기의 영광굴비를 넉넉하게 담은 뒤 냉동 포장했으니 한 마리씩 꺼내 사용하기 편해요. 법성포 굴비의 깊은 참맛을 느껴보세요.",https://img-cf.kurly.com/shop/data/goodsview/20200203/gv10000079959_1.jpg
https://img-cf.kurly.com/shop/data/goods/15826840949y0.jpg,[비비고] 촉촉한 가자미 구이,편하게 맛보는 촉촉한 가자미,"3,480원",15%,1팩,샛별배송/택배배송,70g,냉장/종이포장,,"-밀,대두함유",수령일 포함 최소7일 남은 제품을 보내드립니다,-2/26일 부터 상품명이 '촉촉한' 가자미구이 로 변경 되었습니다.,[],[],https://img-cf.kurly.com/shop/data/goodsview/20200226/gv30000082770_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200226/gv30000082769_1.jpg,"편하게 맛보는 촉촉한 가자미
[비비고]
촉촉한 가자미 구이","흰 살 생선 특유의 담백함 때문에 가자미를 좋아하더라도, 구울 때 살이 잘 부서져 선뜻 요리하기가 망설여졌을 거예요. 그럴 땐 전자레인지에 1분만 돌리면 모양 변형 없이 맛볼 수 있는 비비고의 촉촉한 가자미 구이를 추천드릴게요. 기름기가 적어 부담스럽지 않고, 300℃ 이상의 과열증기오븐에서 빠르게 구워 수분손실을 최소화해 생선 본연의 촉촉함을 그대로 느끼실 수 있어요. 연기, 냄새 걱정 없는 가자미 구이 반찬으로 영양가 있는 한 끼 식사를 완성해보세요.",https://img-cf.kurly.com/shop/data/goodsview/20200226/gv20000068529_1.jpg
https://img-cf.kurly.com/shop/data/goods/1574072403450y0.jpg,[비비고] 고소한 고등어 구이,비린내 없이 간편하게 즐기는,"3,480원",15%,1팩,샛별배송/택배배송,60g,냉장/종이포장,,- 고등어 함유,수령일 포함 최소7일 남은 제품을 보내드립니다,,[],[],https://img-cf.kurly.com/shop/data/goodsview/20191118/gv10000068547_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20191125/gv40000069626_1.jpg,"비린내 없이 간편하게 즐기는
[비비고]
고소한 고등어 구이","생선구이를 좋아하더라도 구울 때 나는 냄새와 연기 때문에 항상 요리하기가 망설여졌을 거예요. 그럴 땐 전자레인지에 1분만 돌리면 냄새, 연기 걱정 없이 즐길 수 있는 비비고의 고소한 고등어 구이를 추천드릴게요. 간편할 뿐만 아니라, 사과추출물으로 비린내를 잡아 고소함이 배로 느껴지죠. 또 300℃ 이상의 과열증기오븐에서 빠르게 구워 수분손실을 최소화해 생선 본연의 촉촉함을 그대로 느끼실 수 있어요. 간편함과 맛을 모두 잡은 고등어 구이 반찬으로 든든한 한 끼 식사를 완성해보세요.",https://img-cf.kurly.com/shop/data/goodsview/20191118/gv20000068543_1.jpg
https://img-cf.kurly.com/shop/data/goods/1559616498865y0.jpg,어린이 순살 생선 3종(냉동),생선으로 시작하는 건강한 식습관,"11,900원",0%,1봉,샛별배송/택배배송,옵션별 상이,냉동/종이포장,,"- 본 제품은 게, 오징어, 조개류(굴, 바지락, 홍합), 밀, 대두를 사용한 제품과 같은 시설에서 제조된 제품입니다.",,"생선의 특성상 각 조각의 크기와 무게가 일정하지 않습니다. 중량에 맞춰 제품을 담아드리고 있으니, 상품 사진의 조각 수와 크기가 수령 상품과 다를 수 있음을 안내 드립니다.","['어린이 순살 고등어 550g', '어린이 순살 삼치 460g', '어린이 순살 연어 385g']","['11,900원', '11,900원', '17,900원']",https://img-cf.kurly.com/shop/data/goodsview/20190604/gv20000052138_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20190604/gv30000052133_1.jpg,"생선으로 시작하는 건강한 식습관
어린이 순살 생선 3종","고기는 좋아하는데 생선은 잘 먹지 않는 아이들이 있지요. 영양이 풍부하나 손질이 어렵고, 힘들여 요리를 해두어도 아이들이 먹지 않으니 식탁에서 점점 그 모습을 보기가 쉽지 않습니다. 그러나 포기할 수는 없지요. 생선에는 우리 몸의 건강 유지를 돕는 영양소가 풍부하게 담겨 있으니까요. 아이의 생선 반찬을 고민하던 분을 위해 컬리는 어린이 순살 생선 3종을 준비했습니다. 수작업으로 뼈와 가시를 일일이 제거했으니 아이가 먹기에도 편하고, 1조각씩 개별 포장하여 깔끔하게 보관할 수도 있어요. 엄마아빠의 마음을 흐뭇하게 만들 순살 생선을 삼치와 고등어, 연어로 세 종류 준비했으니 아이 입맛에 따라 골라가세요.",https://img-cf.kurly.com/shop/data/goodsview/20190604/gv40000052132_1.jpg
https://img-cf.kurly.com/shop/data/goods/1492135585786y0.jpg,Hallo! 노르웨이 고등어,오일 없이 구워도 촉촉하고 고소한 맛!,"3,500원",0%,1팩,샛별배송/택배배송,170g 이상,냉동/종이포장,노르웨이산,- 고등어 함유,수령일 포함 144일 이상 남은 상품을 보내드립니다. (유통기한:제조일로부터 1년),이미 냉동된바 있으니 해동 후 재냉동 시키지 마시기 바랍니다. 해동된 제품은 변질 할 우려가 있으니 가능한 바로 드시기 바랍니다.,[],[],https://img-cf.kurly.com/shop/data/goodsview/20200925/gv30000124422_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20170413/gv30000002051_1.jpg,"오일 없이 구워도 촉촉한
Hallo! 노르웨이 고등어","‘안녕하세요!’ 노르웨이 고등어가 컬리 고객분들께 반갑게 인사를 전합니다. 노르웨이어로 ‘안녕’이란 뜻의 ‘Hallo!(할로)’에는 북대서양 청정 해역의 신선함과 건강함을 그대로 전해드리고 싶은 컬리의 마음이 담겨 있어요. 한국인이 사랑하는 고소한 맛의 촉촉한 속살 덕분에 식탁의 단골손님으로 사랑받는 노르웨이 고등어를 컬리가 PB 상품으로 직접 기획했거든요. 겨울을 나기 위해 통통하게 살 오른 가을 고등어만 골라 먹기 좋게 필렛 형태로 손질했죠. 전문가들이 일주일에 1~2번 섭취를 권장할 정도로 영양까지 뛰어난 등푸른생선 고등어! 원산지부터 가공 과정, 염도 조절까지 꼼꼼하게 확인한 컬리의 Hallo! 노르웨이 고등어로 이제 똑똑하게 선택하세요.",https://img-cf.kurly.com/shop/data/goodsview/20170413/gv20000002050_1.jpg
